Timestamp,Benchmark,Language,User Time (s),GC Max Pause (ms),GC Total (ms),GC Count,Max RSS (MB)
2026-08-24 18:24:07,alloc_heavy,Java,0.036,4.306,4.000,1,
2026-08-24 18:24:07,alloc_heavy,Java,0.042,10.473,20.000,2,
2026-08-24 18:24:07,alloc_heavy,Java,0.025,4.940,8.000,4,
2026-08-24 18:24:07,alloc_heavy,Luna,0.110,0.097,23.129,5,99.6
2026-08-24 18:24:07,alloc_heavy,Luna,0.110,0.089,22.592,5,99.4
2026-08-24 18:24:07,alloc_heavy,Luna,0.120,0.088,22.467,5,99.1
2026-08-24 18:24:07,long_live,Java,0.020,0.000,0.000,0,
2026-08-24 18:24:07,long_live,Java,0.033,5.640,6.000,1,
2026-08-24 18:24:07,long_live,Java,0.009,0.000,0.000,0,
2026-08-24 18:24:07,long_live,Luna,0.070,0.099,14.901,5,62.5
2026-08-24 18:24:07,long_live,Luna,0.070,0.115,14.774,5,62.3
2026-08-24 18:24:07,long_live,Luna,0.070,0.098,14.727,5,62.0
2026-08-24 18:24:07,cycles,Java,0.004,0.000,0.000,0,
2026-08-24 18:24:07,cycles,Java,0.002,0.000,0.000,0,
2026-08-24 18:24:07,cycles,Java,0.002,0.000,0.000,0,
2026-08-24 18:24:07,cycles,Luna,0.010,0.081,2.100,2,16.2
2026-08-24 18:24:07,cycles,Luna,0.010,0.127,2.469,2,16.1
2026-08-24 18:24:07,cycles,Luna,0.010,0.100,2.102,2,16.2
2026-08-24 18:24:07,strings,Java,0.041,7.698,8.000,1,
2026-08-24 18:24:07,strings,Java,0.030,6.805,12.000,2,
2026-08-24 18:24:07,strings,Java,0.032,5.015,12.000,4,
2026-08-24 18:24:07,strings,Luna,0.090,0.083,19.392,4,85.4
2026-08-24 18:24:07,strings,Luna,0.090,0.070,18.954,4,85.4
2026-08-24 18:24:07,strings,Luna,0.090,0.089,19.338,4,85.5
2026-08-24 18:24:07,binary_trees,Java,0.044,6.052,7.000,1,
2026-08-24 18:24:07,binary_trees,Java,0.045,8.021,13.000,2,
2026-08-24 18:24:07,binary_trees,Java,0.056,6.776,18.000,5,
2026-08-24 18:24:07,binary_trees,Luna,0.520,0.000,0.000,0,272.7
2026-08-24 18:24:07,binary_trees,Luna,0.490,0.000,0.000,0,272.6
2026-08-24 18:24:07,binary_trees,Luna,0.580,0.000,0.000,0,273.1
2026-08-24 18:24:07,map_churn,Java,0.203,0.000,0.000,0,
2026-08-24 18:24:07,map_churn,Java,0.187,2.669,2.000,1,
2026-08-24 18:24:07,map_churn,Java,0.166,5.895,6.000,1,
2026-08-24 18:24:07,map_churn,Luna,0.950,0.214,24.404,71,47.4
2026-08-24 18:24:07,map_churn,Luna,0.920,0.293,24.063,70,46.7
2026-08-24 18:24:07,map_churn,Luna,0.930,0.237,23.623,70,46.9
2026-08-24 18:24:07,object_graph,Java,0.037,0.000,0.000,0,
2026-08-24 18:24:07,object_graph,Java,0.025,0.000,0.000,0,
2026-08-24 18:24:07,object_graph,Java,0.024,0.000,0.000,0,
2026-08-24 18:24:07,object_graph,Luna,0.090,2.358,27.070,4,38.2
2026-08-24 18:24:07,object_graph,Luna,0.100,1.804,26.152,4,37.7
2026-08-24 18:24:07,object_graph,Luna,0.090,2.408,26.873,4,37.6
2026-08-24 18:24:07,concurrent_map,Java,0.052,0.000,0.000,0,
2026-08-24 18:24:07,concurrent_map,Java,0.032,0.000,0.000,0,
2026-08-24 18:24:07,concurrent_map,Java,0.033,1.908,2.000,1,
2026-08-24 18:24:07,concurrent_map,Luna,0.260,0.113,5.370,31,19.6
2026-08-24 18:24:07,concurrent_map,Luna,0.250,0.093,5.008,31,19.5
2026-08-24 18:24:07,concurrent_map,Luna,0.260,0.102,4.921,31,19.3
